,index,artist,album,song,lyrics
1345,2388,Drake,$ome $exy $ongs 4 U,NOKIA,"who's callin' my phone? (who's callin' that shit?) who's callin' my phone? (who's callin' that shit?) who's callin' my phone? (who's callin' that shit?) who's callin' my phone? (who's callin' that shit?) who's callin' my phone? (who, who?) who's callin' my phone? (who, who?) who's callin' my phone? (yeah, yeah) who's callin' my phone? (ovo sound, 2025) who's callin' my phone? (who's callin' that shit?) who's callin' my phone?  is it stacy? (who's callin' my phone?) is it becky? (who's callin' my phone?) is it keisha? (who's callin' my phone?) is it annie? (who's callin' my phone?) was it dani? (who's callin' my phone?) is it party? (who's callin' my phone?) where's the function? (where the fuck the function?) send the addy (where the fuck the function?)  the way i feel right now, i feel like we need to be all alone so if you're just playin' around, you need to tell your girl ""take your fine ass home,"" and that's real stop teasin' me, yeah, what? stop teasin' me i could change your life so easily i keep beggin' you to stay, but you're leavin' me leavin' me, we got sticks in the club illegally  got the whole 6ix side, they believe in me we got members east of the dvp we got members west on the 401 we had a lock on the game, but it's more to come you gotta pop that ass 'til the morning come you want shots for the girls? then order some  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1346,2389,Drake,$ome $exy $ongs 4 U,DIE TRYING,"yeah  girl, i can't decide if i should stay and say i tried or i should leave and say goodbye it's killin' me inside if i could just get next to you, i'd probably be alright but we're so busy in this life we always say, ""some other time""  why won't my tears work? it's been a decade since i've cried i got no dog left in the fight the bark don't match the bite me and my old man, we just get fucked up every night he said, ""son, these hoes just don't love you"" i said, ""i'll keep that in mind""  those ain't words to live by, wouldn't call that sound advice our future doesn't sound too bright but i just nod and say, ""you're right,"" i do girl, i can't decide if i should stay and say i tried ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1347,2390,Drake,$ome $exy $ongs 4 U,SOMEBODY LOVES ME,"(all the girls) i know there's somebody who loves me somebody who really loves me (who loves me) and that's all i need  we in miami turnin' up another notch (a notch) we smokin' broccoli, but she smellin' baccarat ('carat) i'm in her panties tryna get all in her crotch (her crotch) friends all on my friends and they tryna get got (get got) her name is angel but she's far from god (from god) bet it don't pay well to fall in love (in love) must be the stars but something's linin' up (it's up) thought my exes was bad but you finer (finer) oh, no, no, no (oh, oh, oh)  yeah, yeah somebody who loves me in the buildin' somebody who feel me in the buildin' (oh, oh, oh) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1348,2391,Drake,$ome $exy $ongs 4 U,CELIBACY,Lyrics not available.
1349,2392,Drake,$ome $exy $ongs 4 U,OMW,"call me from the condo, i'm picking you up you and i know, i know you deserve it if i brought your birthday, you turn it up (oh, yeah, oh, yeah) last week, you gave me the sickest threesome (oh yeah) this week, you gave me the sickest head last night, you tried to blow my mind (ooh, yeah) and tonight, you tried to do it again, oh, whoa  my best friend, my shawty oh, whoa hey, your mind and your body is outta control the fuck was they thinking? you on a roll you hit the splits and get naked, girl, you're honor roll you're payin' the rent these days and the groceries, whoa luckily, i got rich after that luckily, you stole my bitch after that luckily, you went platinum like plaques ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1350,2393,Drake,$ome $exy $ongs 4 U,GLORIOUS,"it's so fire, like, it's for the streets, it's for the baddies it's for the ooters, it's for everybody it just really gives me that vibe, like  oh, my god, look at that bumper would've had no chance back in the day when i was on the come up i would've got air time for that number now she lookin' back at me 'cause these days all the pretty tings wonder (grr) yeah, no drummer, you know i got bands you try to not act like a fan, but you know that i'm drizzy, you know who i am (know who i am)  like grrah, for sure, ten million views in a day look at me, i know you see a cape 'cause you're one of them ones that's tryna get saved, i'm here (i appreciate, like, free gifts, i'm not gon' lie) i know that your man is a waste but you won't look him in the face and say that you're wastin' my twenties away what's hush always say? there's so many ways to get paid (isis is an egyptian goddess, yep, so, but you know)  vvs pon your chest keys to the place, you're blessed flyin' on private jets don't even ask where we at 'cause i got no idea don't do me dirty for real 'cause i'm leavin' you here (i really don't give a shit, i'm a, i'm a capricorn, so) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1351,2394,Drake,$ome $exy $ongs 4 U,WHEN HE'S GONE,"you and your nigga broke up, bae you ain't show nobody love since him it's been different, gotta keep livin' (oh) you say you don't need nothin' (need nothin') but to me, that don't mean much (mean much) 'cause you gon' keep a mean mug and try to go through it all alone, all alone, oh and isolate yourself from me and now i'm playin' a guessing game by myself, what do you need? (oh) i'm on the other side of the phone calling (calling), and stalling (stalling) making up excuses for you, for you, oh  when he's gone, let me know when he's gone out your mind oh-oh, yeah, oh-oh, yeah let me know when he's gone when he's gone out your mind ayy, yeah, oh, yeah, yeah, oh-oh, yeah  you and your nigga broke up, bae you don't know how to start again don't know how to ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1352,2395,Drake,$ome $exy $ongs 4 U,GREEDY,"it's been a nice life, money and the bright lights ain't as bad as people describe i've been a nice guy, people i've done right by flipped on me, but, girl, it's alright  it's alright, it's alright, it's alright, it's alright not surprised by nothin', i just take it in stride on the bright side, everyone on my side they still got they love and they pride, ay  let's get high, high, let's go sci-fi i'm tryna be out of my mind you workin' 9-5, what's the wi-fi? i'ma try and buy you some time, some time  i'll be your lifeline, just get offline leave your phone and look at my eyes boy, does time fly, it was just nighttime now the sun is about to rise and i  don't even know how it feel don't even know how it feel don't even know how it feels to be in love with me for real don't even know how it feel  can't even imagine how it feels to be in love with me for real when i disappear for days ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1353,2425,Drake,For All The Dogs,Virginia Beach,"(i bet your mother would be proud of you) (ooh, you, you, you, oh) (i bet our mother would be proud of you) i know what you say you say i coulda treated you better or whatever, but i don't know, i think i did alright know what i'm sayin'? and you know how you get drawing conclusions like you got a parsons degree or something i coulda treated you better, that's crazy nope  lean in, lean in soda, fanta, fantasizing that's not love you're in, it's more like compromising i move mountains for you, fuck that social climbing lean into me, lean into me yeah, lean in, lean into me  pussy ain't makin' me tweak, ended up stayin' a week she pretty but ghetto, pretty but rough just like virginia beach i wanna get back to the days that you loved me for nothing but what you could see you bust down the jubilee, i swapped it and made you go factory, wait ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1354,2426,Drake,For All The Dogs,Amen (feat. Teezo Touchdown),"father god i come to you to say thank you that's all, i don't wanna ask for anything, i just wanna say thank you, lord thank you  prayin', prayin' (thank you) pray again, pray again (thank you, father) prayin' (thank you, lord) prayin' 'til you find a man  that's gon' treat you that's gon' treat you like i can (amen, amen) that's gon' please you that's gon' please you like i can (church)  church like a priest, turks for the week purse for yourself, purse for your niece know you don't do percs, baby, but (take your time) that's the perks of datin' me ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1355,2427,Drake,For All The Dogs,Calling For You (feat. 21 Savage),"grr  i was in the club 'fore she even had it she was 21, i don't see a savage she wanna be the one, she know i'm comin' static she wanna hold the gun, if you want it, you can have it shawty still young, so she don't know the classics i see her body, one-of-one, yeah i see her body, one-of-one get to the crib, make you cum  pussy sweet, call you my honeybun (tss) i know your nigga was a bum fuck on the crodie, have some fun girl, i'm the king of my city, i'm the one (tss) swear you can have me, you really one-of-one (tss) how you so nasty? you really one-of-one (tss) how you so flashy? you really one-of-one (tss) out in miami, you still a one-of-one (tss)  i wanna beat on the pussy 'til the sun come up you fucked on a nigga i see as my son, so what? yeah, i was in the club, but i was in the cut had liquor in my cup, had passion in my cup and addy in my system, see a opp, i'ma hit 'em up yeah, he gon' be a victim, i was tryna dance with the bitch couldn't keep my hands off her hips know she spent some bands on her fit  know i told you that she really one-on-one cro', yeah, she advanced with the shit and i got a chance with the bitch loverboy, romance with the bitch couldn't even put my mans on a bitch ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1356,2428,Drake,For All The Dogs,Fear Of Heights,"ayy, ayy, look why they make it sound like i'm still hung up on you? that could never be gyal can't ruin me better him than me better it's not me i'm anti i'm anti  yeah, and the sex was average with you yeah i'm anti 'cause i had it with you okay i'm anti like your daddy's sister anti like a family picture and i had way badder bitches than you tbh  yeah that man he still with you he can't leave y'all go on vacation i bet it's antilles  let me stop you know what, fuck it let me go  what? ayy what? ayy what? ayy girl, you make me wanna cuff you like the law (huh) girl, you make me wanna work you like the job (ayy) i know you a cat but can your pussy do the dog?  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1357,2429,Drake,For All The Dogs,Daylight,"you're all a bunch of fucking assholes you know why? you don't have the guts to be what you wanna be you need people like me you need people like me, so you can point your fucking fingers and say that's the bad guy yeah (808 mafia) grah  treat all my exes like jehovah's witnesses free all the dogs and fuck all the witnesses they sittin' down, we standin' on business ayy, standin' on business standin' on business standin' on business standin' on, ooh  i'm tryna fuck all the bitches that look like my ex i'm makin' her vex, i'm too complex i carry a whole lotta gold on my neck he talkin' down, he get put in a lake capo the type to show up to the wake  i'm geekin' hard, don't know what to take don't know what i took my doggy got booked for actin' like book he shot 'em in... (damn) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1358,2430,Drake,For All The Dogs,First Person Shooter (feat. J. Cole),"(just you) pew, pew-pew (just you wait)  first-person shooter mode we turnin' your song to a funeral (the one for you) to them niggas that say they wan' off us you better be talkin' 'bout workin' in cubicles yeah, them boys had it locked, but i knew the code lot of niggas debatin' my numeral not the three, not the two, i'm the u-n-o  yeah numero u-n-o me and drizzy, this shit like the super bowl man, this shit damn near big as the- big as the what? big as the what? big as the what?  big as the super bowl, but the difference is it's just two guys playin' shit that they did in the studio niggas usually send they verses back to me and they be terrible, just like a two-year-old  i love a dinner with some fine women when they start debatin' about who the g.o.a.t. i'm like go on 'head, say it then, who the g.o.a.t.? who the g.o.a.t.? who the g.o.a.t.? who the g.o.a.t.?  who you bitches really rootin' for? like a kid that act bad from january to november nigga, it's just you and cole, big as the what? big as the what? big as the what? ay, big as the super bowl  niggas so thirsty to put me in beef dissectin' my words and start lookin' too deep i look at the tweets and start suckin' my teeth i'm lettin' it rock 'cause i love the mystique i still wanna get me a song with yb can't trust everything that you saw on ig ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1359,2431,Drake,For All The Dogs,IDGAF (feat. Yeat),"traveling forever in the dark darkness into blackness there and back, it's always black oh-ah, it screeched across the sky nothing to do, but lie  fuck the bitch, i make her sweat, huh i'ma die by my respect, huh i put a check up on my neck life check ya in the head i signed for a couple milli' you only touched a hundred thou'  man, i don't give a fuck who it is i know i got my twizz' (bnyx) i'ma freak on them every time i don't give a fuck what y'all goin' on man, fuck all of you (fuck all of you)  yeah, i don't be givin' no fucks (not one) uh (just pull up, pull up, whoa) i don't know if you caught on (caught on) i don't be givin' no fuck, huh i say whatever i want, yeah i do whatever i want, huh i'm countin' up money for fun and i'm poppin' these percs just for fun (luh geeky)  look, comin' live from the comin' live from the one after five comin' live from the three, two time whole gang fuckin' eastbound and they down just like danny mcbride why i always see your dawgs in the city? think your boys left some soldiers behind ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1360,2432,Drake,For All The Dogs,7969 Santa,"wait, wait, wait, wait, wait, wait, damn damn, that's how you're dealin' with me, damn damn, that's how you're, that's how you're ayy, look, look  who the fuck is that? it's a disguise you ain't who i thought i recognized 20-thousand pound on your rent bitch, i coulda spent that on the guys  i don't like what you did on them trips (shit i don't like) i don't like what you did to your lips (shit i don't like) i don't like the tone of your replies (shit i don't like) i don't like the look that's in your eyes (shit i don't like) blame this shit on bein' 25 that excuse for me just doesn't fly zack keep sayin', ""meet at seven-nine"" but that shit just gon' have you on my mind, yeah  i just wanna get you off of my mind i just wanna get you off of my mind i just wanna get you off of my mind ayy, yeah, damn ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1361,2433,Drake,For All The Dogs,Slime You Out (feat. SZA),"i don't know i don't know what's wrong with you girls i feel like y'all don't need love you need somebody who could micromanage you you know what i'm sayin'? tell you right from wrong who's smart from who's a fool which utensil to use for which food, like i got a schedule to attend to, though i can't relate (6ix)  you bitches really get carried away makin' mistakes, then you beg me to stay got me wiggin' on you like i'm arrogant tae you got my mind in a terrible place whipped and chained you like american slaves act like you not used to sheraton stays i met the nigga you thought could replace how were there even comparisons made? bitch, next time, i swear on my grandmother grave i'm slimin' you for them kid choices you made  slimin' you out, slimin' you out, slimin' you out  ayy, this ain't the littest i could get on you bitches send wires on wires on wires like idris you lucky that i don't take back what was given i could have you on payment plan 'til you're 150 and my slime right here, she got some bars for y'all niggas so i'ma fall back and let sza talk her shit for a minute ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1362,2434,Drake,For All The Dogs,Bahamas Promises,"dogs, man yeah, for all the dogs mm, oh-oh-oh, ayy-ayy  hailey, it's sad that i know all the tea broken pinky promises, you fucked up our bahamas trip i know that you're not for me hailey i'm tired of your apologies you put the ""no"" in monogamy (no) know that you're not for me hailey ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1363,2435,Drake,For All The Dogs,Tried Our Best,"oh, oh oh, oh oh, oh oh, oh oh, oh oh  i swear that there's a list of places that i been with you, i wanna go without you just so i can know what it's like to be there without havin' to argue swear i didn't have the discipline to leave your ass at home, you make it hard to this life'll take a lot of listenin' to one another, shouldn't have involved you i know not to now  leave you at home if i wanna have a good night leave you at home if i wanna have a good time peace of mind leave you at home, bein' honest with you sometimes, i might leave you at home, blue bubbles blowin' my line, hard times stressed out, bad vibes  treat you like treated you like you're one of mine treated you treated you ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1364,2436,Drake,For All The Dogs,Screw The World - Interlude,"ayy i never player-hate uh, 'bout to screw the world fuck what you doin', you can't fuck with my crew  screw the fuckin' world on up mr. nine-six, syrup in my cup bustin' down, smilin' 'round, and i got them girls mr. damn screw, i would never be with you ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1365,2437,Drake,For All The Dogs,Drew A Picasso,"(baby, you know, you know, you know i need your love)  you cannot find no one better than this tryna do right by you, but we can't mix, i try takin' three months off, then f- again after you say we not f- again never say ""never,"" just say what it is act like you need some insurance on this we didn't get here on accident  don't make me bring out them racks again your two best friends are some savages yeah, how many days has it been? swearin' it's different, not genuine movin' like snoopy and charlie brown feel like you tryna dog the kid  you're mine too many reasons why i can't picture you with him that's just so embarrassin' i want to die, to die i swear that i wanted you back then waitin' on you like a backend you bad as f-, ain't no cappin' statements you claimed never happened ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1366,2438,Drake,For All The Dogs,Members Only (feat. PARTYNEXTDOOR),"wait wait, wait, wait, yeah wake up every day lord, please guide my way i'm so grateful (yeah)  i can't wait for september 'cause that means that next month, it's goin' down like timber you're too down with the gangy, you're one of my members she gotta represent for the guys now, they gotta see a part of me in her (yeah) red flag, blue flag, green flag, and a white flag to surrender (yeah) my ex girl was a head case, i cannot defend her  you're too down with the gangy, you're one of my members they see you comin' 'round in the realest way, now them hoes gettin' friendlier you're too down with the- you're too down with the gangy, with the gangy with the-, what?, with the gangy you're too down with the members you're too down for the o, girl, fuck november, december  ask them other guys in the city what happened lol gang, we the last ones laughin' are you jackin' them or jackin' us? ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1367,2439,Drake,For All The Dogs,What Would Pluto Do,"damn, okay (yeah) i been out the way in a cut, it's been a minute (been a minute) workin' on a album, now it's finished last time i saw her, she was fuckin' with my nigga so the question is, the question is what would pluto do? he'd fuck the hoe, so i did it (yeah, yeah) what would pluto do? he'd fuck the hoe, so i did it (yeah, yeah) what would pluto do? he definitely fuckin' on these hoes, ayy  wigglin' back into my old ways, ayy bunch of sedatives, hypnotics in my system, okay life is goin' just how i predicted, okay droppin' two cialis in her liquid, okay i ain't got a strap, i gotta risk it, okay baby girl, adonis need a sister, okay and my baby mama out the picture, okay think i'm 'luminati 'cause i'm rich, well, okay  diamonds in the sky put your face down, ass in the air too plused up, ayy, bussin' off pill keep our trill, crack a new seal new rolls, bought it for the thrill ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1368,2440,Drake,For All The Dogs,All The Parties (feat. Chief Keef),"ayy ayy, ayy grr  yeah, jason got money that glow in the dark hit up the dawg like i'm ovo mark walk-in closet, got more chrome in than stark $40k a night to sleep at the mark guess it's time for me to cover the shark me and kd 'bout to turn up the art fuck you hoes, i swear i'm breakin' your heart it's broken  i bought the house just to knock that down i bought the rolls just to take it apart she bought an ass now she makin' it arch doctor's office was the last time that you even had your name on a chart shawty graduated, playin' it smart (ayy, yeah)  used to be a smarty used to wanna study, now she poppin' addies she at all the parties, t'd up with 3hunna she just did her body, she in love with sosa girl, you such a thottie ayy, sosa, baby  used to be a smarty used to wanna study, now i drop the addy ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1369,2441,Drake,For All The Dogs,8am in Charlotte,"in god's hands (conductor) be grateful that he was there glory (yeah) i'm out here on the road you can hear it in the voice (glory) ah-em, still get this shit off, though look  the money speakin' for itself, i call it fortune-tell fire top from a bitch that work at corporate sales chinchilla ushanka, we skiin' out in courchevel breakin' news, they tried to kill him, but the boy prevails i leave for tour and my niggas fuckin' go to jail preachin' to the dogs 'bout wantin' more for themselves it's weighin' heavy on my moral scale knowin' they gon' sell another citizen 'cane, they think they orson welles  walk in chanel, they like, ""how the fuck you need more chanel?"" i got these cats tuckin' tails on fourth-quarter sales i'm used to seein' tears drop over enormous meals the restaurant clears out, faint echoes of lauryn hill i say, ""we gotta talk about us,"" i feel like jordan peele could tell i'm gettin' under your skin like a orange peel 'cause your words don't match your actions like a foreign film and now it's silence in the lamb' like the horror film  things get quiet after me statin' the obvious things get kinky after 15 years of dominance that october sky is lookin' ominous the money is autonomous shout' to oliver north, he out in rome doin' toronto shit and jeremiah the watchdog, you niggas know what time it is ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1370,2442,Drake,For All The Dogs,BBL Love - Interlude,"bust that p- open for a real one she call me her baby like i'm still one they say love's like a bbl, you won't know if it's real until you feel one can i feel it? can i feel it? can i feel it? can i feel one? can i feel it? can i feel it? can i feel?  sometimes, i think to myself, ""what if i was somebody else?"" would your ass still be here? what if i had a cdl even at a stl on our way to atl in a big 18-wheel would your ass still be here? would your ass still be here?  would you love ed like you love drake? love fred like you love drake? love greg like you love drake? ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1371,2443,Drake,For All The Dogs,Gently (feat. Bad Bunny),"yeah my g, tití came vip with a baño baby, my wrist is from casablanco me gusta su sonrisa aunque me haga daño i live like sopranos, italianos i've been el chico for cincuenta años me gusta su culazo perreando le da hasta abajo, le gusta este tamaño dale, papi champaño, jeez  ah, eh, eh, eh, eh, eh either i slow down the trip or i speed up the visa mi nah wan' leave ya grab eliza, bring her to ibiza introduce you to richie akiva my broski benito, he needs a bonita a freak, a bien loquita gracie bon, mi amor, mi amiga ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1372,2444,Drake,For All The Dogs,Rich Baby Daddy (feat. Sexyy Red & SZA),"is it all i could be enough is it all i could be enough is it  bend that ass over (baow), let that coochie breathe (yeah) shake that ass, bitch, hands on your knees (ho) hands on your knees (ho), hands on your knees (now) shake that ass for drake (yup), now shake that ass for me  bend that ass over (baow), let that coochie breathe (yeah) shake that ass, bitch, hands on your knees hands on your knees, hands on your knees shake that ass for drake (yeah), now shake that ass for me  ayy, i still got some love deep inside of me no need to lie to me, i know you got a guy he's not a guy to me just say goodbye to him, then take the ride to me, ride to me  i still got some love deep inside of me please drag it outta me, you just might just might get that g-wagon outta me please drag it outta me, please drag it out  rollie gang, patty gang, rich baby daddy gang i'm with red like i'm at a cincinnati game hood bitch, tat her gang 'fore she tat her name real bitch, held me down 'fore i had a name  heard there's money on my head, what is that to me? i put a hunnid bands on him, he put a rack on me we from two different worlds, but it's a match to me the bend it over only time she turn her back on me, for real ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1373,2445,Drake,For All The Dogs,Another Late Night (feat. Lil Yachty),"(grow up, nigga) grrah, grrah, ayy this lil' drizzy reppin' 'crete, ayy my brother capo from the way, he from the street, ayy wanna fuck with me? well, baby, i'm discreet, ayy  ayy, thinkin' 'bout this pill i took, pillow talkin' shawty ran some dillon brooks, can't believe this nigga talkin', damn my bank account is magnolia, milly rockin', ayy weirdos in my comments talkin' 'bout some millie bobby, look bring them jokes up to the gang, we get to really flockin' or send a finger to your mama in some fedex boxes open up that shit, it's jaw droppin', really shockin', ayy i ain't pretty flacko, bitch, this shit get really rocky, ayy, what? damn, what?  dirty how i did him in the wraith, what? say she actin' hollywood, this ain't l.a., no way she a pretty little lie, like she shay, but that's bae long as she don't lie to me, then it's okay  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1374,2446,Drake,For All The Dogs,Away From Home,"(i-i-i) ayy, what? so, is it real? yeah, ayy  give a fuck if they remember i was in the cold, windows froze, i was sleepin' in the whip tryna get a fucking grip i remember didn't have no hoes tryna go, all these rappers lil' bro'd me, fuck, fuck  fuck 'em, i remember way before they had a fuckin' dm, i was whippin' in the ac' like that shit was european i remember i remember drivin' holland tunnel for a label meetin', thinkin' 'bout more cake than a funnel i remember  now these niggas don't remember i know neeks remember, i know jay remember, chubbs'll make them boys remember dead-broke, splittin' pennies with my members fuck a spread, we was splittin' chicken tenders (i-i-i)  'member i was sleepin' in the basement, watchin' tigger in the basement, i was tryna get a placement i remember days in the east with the bros, watchin' tristan and devoe while they runnin' up the score i remember tt was headed to the league, i was sleepin' up at metal works tryna plant a seed i remember rollin' through the city, gettin' beats, always peepin' out the streets 'cause i was beefin' with the bleeks i remember  i was tryna get a portion, tryna make a fortune b-town with candy, i'm tryna be her boyfriend 3 a.m. at y2, runnin' off endorphins start adoptin' my brothers' beefs like a orphan  i was still on rose when it's pourin' and stormin' this shit is not rewardin', i do not feel important ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1375,2447,Drake,For All The Dogs,Polar Opposites,"yeah ayy  tweakin' on vacation with me you set limitations with me why do i get treated different? i don't know how you run the bases with me then say nothing sacred with me why do i get treated different?  sun is setting on the atlantic, i bet a full moon is gonna show wondering what rocks your boat what keeps your heavy heart afloat i don't know, i don't know  bipolar baby, seems like it just went undiagnosed blocked me on everything, that's so immature, so unprovoked, i don't even know why  had to plans to understand ya ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1376,2448,Drake,Her Loss,Rich Flex,"go buy a zip of weed, hit the club pay for 'bout ten nigga to get in, we crunk, lit in this bitch, yeah  (body up, yuh, yuh) know we walk around the world (body up, yuh, yuh) steppin' not givin' a damn 'bout where our feet land at  yeah, get your ass mushed, smooshed (6ix) yeah, 21, the biggest  put a nigga in the chicken wing, pussy  21, can you do some' for me? (21) can you hit a lil' rich flex for me? (21) and 21, can you do sum' for me? (21, 21) drop some bars to my pussy ex to me and 21 (21), can you do some' for me? (yeah) can you talk to the opps necks for me? (okay) 21, do your thing, 21, do your thing (21) do your thing, 21, do your thing  yellow diamonds in the watch, this shit cost a lot never send a bitch your dot, that's how you get shot i dm in vanish mode, i do that shit a lot took her panties off and this bitch thicker than a plot  all my exes ain't nothin', them hoes busted if my opps ain't rappin', they ass duckin' ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1377,2449,Drake,Her Loss,Major Distribution,"no, no, no, no, no, no no, no, no, no, no major distribution, man, my label on my dick, for real fucking with your friend and she ain't tell you y'all ain't shit, for real i've been out here crushing on success, now she my bitch, for real you say i'm persuasive, girl, but you can't spell that shit, for real  hmm, hmm, in this mansion, i'm macaulay culkin paid in full, i'm mekhi phifer know you're tired, we just did dinner for three hours lying to me all night, buying benz benz's out of spite paid a hundred, ran up something light simple price to keep 'em out my life booby trap, we need a business office magic city need a business office 29, i keep a business office i'm in lovе with houston, dallas, austin tell your guys to hold off on the team chains seem like they may need money for coffins cuban girl, a fan of ground coffee text me on the signal, don't call me ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1378,2450,Drake,Her Loss,On BS,"yeah, woah, woah, woah  i had to cut some niggas off, they didn't mean me no good i come from the ghetto, so my trunk is in my hood she wouldn't wear no panties 'round me even if she could gave out plenty spankings 'til they got it understood fuck the nosebleeds, baby, come sit on this wood if you know it's tension, don't come 'round me like it's good i got street smarts and you can't get this out no book i can't right my wrongs, but i can still write these hooks  oh, time to get exposed you ain't been from 'round here, nigga, come get off your show savage said you pussy and he hit it on the nose but that board is opеn, why you actin' like it's closed? i don't know y'all be goin' in and out rеcessions the same way that i be goin' in and out of texas or in and out my sessions, or in and out her best friends or in and out these courtrooms, my lawyer like, ""objection""  yeah, woah, woah all my bitches spanish, boricua water on my neck, these diamonds came with coral reefer she from overseas, i had to buy her a new visa met your wife in vegas, but i hit her in ibiza she a supermodel, so she only eatin' caesar used to date a rapper, but he acted like a diva niggas hustlin' backwards, out here ballin' with the re-up  popped an adderall, i feel like i can lift a tree up seen too many cameras, so i never lift my ski up (yeah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1379,2451,Drake,Her Loss,BackOutsideBoyz,"backoutsideboyz, toting a 70 on the strip, i'm ready to die (die) cutting the traction, bending the corner, bet i make shit glide (shh) tried to bring the drama to me, he ain't know how we cha-cha slide (yeah) i'll never lose sleep over no bitch, way too much pride (yeah, yeah, yeah) fill it up in a briefcase, split this shit with the vibes (yeah, yeah, hm, hm, hm)  breaking a brink's truck, my right wrist van cleef (cleef) i spent days in the east tryna figure if i'm geeked ('kay) this bitch tweaking, talked too much while i was geeked, blew my peep (brr) fuckin' rap niggas' hoes, i'm on the street, this shit sweet (hey) i went half a million on rosé, did four million on my ice (hey, hey)  couple million on my cars, i went tyson, i'm too nice (hey, hey) nigga stopped me on the street, wanted to talk, so he asked my price (yeah, hey, 'kay) the number was high as me, i ain't gon lie (yeah, okay) i was fuckin' with this lil' woe, i think she bi (bi) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1380,2452,Drake,Her Loss,Privileged Rappers,"woah, woah, yeah look at me dead in my eyes, i know that you know that a nigga ain't lyin' too much respect, all of my shawty bds, they know not to try it too much respect, i used to hand out cds before they would buy it woah, she love me so much, it seem like she biased niggas don't know how i live, but that's 'cause they live at the hyatt, ayy 4l step team steppin' on shit 'til it's quiet he brought me the money sealed up, i still had to count it, i cannot just eye it  woah, woah, woah yeah, let's have sex in the bank, tell 'em to open the safe i hate a privileged rapper who don't even know what it take the diamonds, they hit like a rainbow, that's 'cause the necklace a frank (purr) woah, woah, woah yeah, let's have sex in the nines (let's do it) breakin' and bendin' her spine (let's do it, let's do it) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
1381,2453,Drake,Her Loss,Spin Bout U,"you gotta motherfuckin' feel this shit, boy (banbwoi) woah  i got feelings for you hope you ain't lovin' the crew how many bodies you got? pray it ain't more than a few know that you dealt with some lames when you was young and in school he had to pop your cherry but i got it wet like a pool  she got a new g-wag' she wanna hit highlight room and show it off got a new body, girl, show it off this a brazilian, i know it's soft toned up and she got a six-pack look like she used to play volleyball  american express, you can have it all code to the safe, you can have it all fuck your main page, what's your finsta? i wanna know the real you you started dancin' to pay your tuition, girl, i wanna know what you been through you want a boutique or you wanna sell hair, just let me know what you into if you out in public and he want your number, just tell him, ""my nigga'll spin you"" ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
